Artist,Listeners,Daily +/-,Peak,PkListeners
Amit Trivedi,"20,529,208","-19,999",363,"20,681,717"
Mc Gw,"20,525,322","60,813",238,"24,214,206"
Dei V,"20,476,921","-63,693",155,"29,780,833"
The Fray,"20,473,975","29,743",378,"20,473,975"
Coolio,"20,399,592","72,579",367,"20,399,592"
Frank Sinatra,"20,358,322","81,585",33,"61,802,582"
U2,"20,346,912","-7,485",233,"23,044,157"
Bastille,"20,335,090","1,744",183,"26,610,747"
Lil Peep,"20,299,176","36,606",337,"21,168,577"
Mora,"20,287,871","-19,542",151,"27,760,085"
Sech,"20,287,258","-23,801",174,"23,591,625"
Xavi,"20,275,155","-2,563",129,"31,501,727"
5 Seconds of Summer,"20,216,222","41,416",205,"25,934,585"
Kelly Clarkson,"20,201,918","-3,321",29,"64,847,712"
WizTheMc,"20,186,886","-68,604",191,"29,814,765"
Sean Kingston,"20,180,428","7,844",370,"20,710,779"
Annie Lennox,"20,171,639","100,300",301,"22,105,566"
The Offspring,"20,162,357","1,055",309,"21,326,758"
JID,"20,153,998","-5,336",100,"34,163,239"
R.E.M.,"20,141,590","27,972",332,"20,454,838"
Vishal Dadlani,"20,130,975",-580,307,"20,156,861"
Bon Iver,"20,123,200","-30,321",287,"21,981,333"
Journey,"20,112,141","-179,998",201,"26,816,449"
JVKE,"20,107,230","-60,071",110,"31,684,143"
Karan Aujla,"20,067,823","15,590",349,"20,067,823"
ROSALÍA,"20,058,211","385,909",47,"46,715,627"
Madison Beer,"20,051,599","351,801",339,"20,051,599"
bees & honey,"20,043,310","-92,087",190,"29,859,569"
Labrinth,"20,017,088","8,489",67,"36,829,106"
Ñengo Flow,"20,004,101","-7,339",207,"22,145,574"
Grupo Firme,"19,993,511","-20,686",257,"22,421,731"
Marc Anthony,"19,986,789","35,393",332,"21,801,177"
Ayra Starr,"19,964,432","-50,268",134,"32,190,133"
Martin Garrix,"19,961,810","-131,938",175,"23,962,214"
Banda MS de Sergio Lizárraga,"19,930,220","-23,846",393,"19,991,123"
Jessie J,"19,840,538","5,067",304,"23,379,270"
Anuv Jain,"19,822,712",854,403,"19,823,911"
Christian Nodal,"19,766,541","-14,790",220,"24,683,573"
Marco Antonio Solís,"19,735,504","41,950",354,"21,194,355"
Chase Atlantic,"19,727,972","-10,748",263,"23,118,141"
Rema,"19,724,589","26,608",60,"40,010,586"
B.o.B,"19,699,482","-24,761",312,"21,112,481"
Stevie Wonder,"19,661,350","26,413",114,"34,912,997"
Led Zeppelin,"19,634,564","-47,909",294,"21,370,406"
Summer Walker,"19,625,795","-73,083",167,"28,542,051"
Foo Fighters,"19,617,851","64,371",231,"23,378,244"
Reik,"19,601,899","30,914",253,"22,018,792"
George Michael,"19,601,780","57,948",139,"31,867,957"
Kapo,"19,597,679","-35,719",271,"22,915,853"
Skrillex,"19,573,660","24,801",175,"23,635,431"
Jonas Brothers,"19,556,753","-23,557",119,"34,608,604"
Yandel,"19,539,831","-45,420",126,"27,875,326"
