Artist,Listeners,Daily Trend,Peak,PkListeners
girl in red,"18,838,230","-326,709",262,"23,016,471"
John Lennon,"18,819,030","428,960",80,"38,948,405"
Amaal Mallik,"18,816,843","88,251",400,"18,816,843"
Bobby Helms,"18,794,449","840,415",44,"54,140,875"
Jubin Nautiyal,"18,770,216","-62,129",241,"22,249,499"
Sachet Tandon,"18,736,433","-35,112",363,"18,916,564"
Annie Lennox,"18,733,546","-627,483",301,"22,105,566"
Mc Gw,"18,723,063","-65,700",238,"24,214,206"
Bon Iver,"18,714,171","-46,313",287,"21,981,333"
Adam Port,"18,700,639","-141,214",241,"24,739,687"
Surf Curse,"18,699,549","-87,927",319,"20,913,105"
Jessie J,"18,689,703","50,633",317,"21,219,575"
Dire Straits,"18,674,167","-29,597",331,"19,168,154"
Kings of Leon,"18,644,872","-42,084",241,"24,493,486"
Skrillex,"18,611,015","-21,550",175,"23,635,431"
Julión Álvarez y su Norteño Banda,"18,603,618","25,014",397,"18,603,618"
Nelly,"18,595,592","-29,332",316,"20,062,232"
Foster The People,"18,582,050","-10,917",313,"22,182,297"
Vishal Dadlani,"18,567,150","-65,031",307,"19,035,408"
Bill Withers,"18,558,808","214,068",219,"25,445,001"
Cyndi Lauper,"18,543,843","-58,624",214,"25,807,659"
Big Sean,"18,530,288","-51,909",166,"29,499,746"
Coolio,"18,522,745","-65,274",367,"19,724,313"
CYRIL,"18,486,782","-104,987",227,"25,127,423"
Foo Fighters,"18,466,271","-9,251",231,"23,378,244"
Noah Cyrus,"18,408,871","-81,722",339,"20,615,213"
Topic,"18,368,061","-29,842",343,"19,460,472"
Kacey Musgraves,"18,336,173","84,416",182,"27,365,334"
Jung Kook,"18,309,372","-56,030",61,"40,791,781"
Baby Keem,"18,309,260","73,963",237,"23,094,570"
PinkPantheress,"18,280,247","43,681",60,"39,844,680"
Javed Ali,"18,273,174","51,456",424,"18,273,174"
Mora,"18,262,893","9,677",151,"27,760,085"
ATL Jacob,"18,245,325","-1,966",210,"25,072,953"
Sech,"18,219,054","-16,562",174,"23,591,625"
Jelly Roll,"18,216,555","104,813",273,"23,529,805"
Jonas Brothers,"18,186,256","115,566",119,"34,608,604"
Roddy Ricch,"18,160,638","-152,603",205,"23,016,594"
Kunaal Vermaa,"18,135,641","19,810",419,"18,269,527"
Alessia Cara,"18,092,154","46,088",227,"25,204,710"
Darshan Raval,"18,087,292","-23,710",286,"20,349,184"
R.E.M.,"17,958,725","-43,402",332,"18,515,637"
Julia Michaels,"17,939,744","13,887",309,"20,387,752"
The Smiths,"17,906,833","-53,338",432,"17,960,171"
a-ha,"17,901,635","-87,261",180,"28,104,014"
Luis Miguel,"17,884,943","89,877",309,"19,398,229"
Juanes,"17,874,129","-3,965",332,"19,164,230"
Omar Courtz,"17,836,749","-78,451",373,"19,546,983"
HUGEL,"17,803,792","3,375",423,"17,933,552"
B.o.B,"17,783,542","-293,555",312,"21,112,481"
De La Ghetto,"17,730,320","2,411",238,"21,703,557"
Los Ángeles Azules,"17,666,081","19,025",374,"19,252,352"
Evanescence,"17,635,887","-409,711",407,"18,667,852"
Tems,"17,634,753","45,764",351,"20,045,383"
Carly Rae Jepsen,"17,629,810","3,969",317,"18,869,973"
Lil Yachty,"17,600,198","-46,281",315,"20,524,026"
De La Rose,"17,549,943","-21,489",385,"19,272,035"
Amit Trivedi,"17,545,442","-16,556",384,"17,761,812"
Julieta Venegas,"17,542,519","-26,287",376,"19,459,228"
Gabry Ponte,"17,541,957","-47,689",379,"19,299,756"
Eyedress,"17,521,057","53,241",399,"18,287,094"
Lenny Tavárez,"17,516,916","3,597",278,"22,544,589"
Dean Lewis,"17,483,273","-55,908",266,"19,801,720"
Sean Kingston,"17,368,685","3,723",381,"18,574,495"
David Kushner,"17,367,628","45,003",143,"27,928,294"
Dido,"17,356,295","-23,515",307,"21,688,560"
Chase Atlantic,"17,301,093","46,554",464,"17,301,093"
Zion & Lennox,"17,285,350","-27,830",230,"22,169,487"
Karan Aujla,"17,202,208","-53,666",349,"19,861,429"
Gotye,"17,201,081","11,589",367,"18,863,328"
Migos,"17,156,077","-275,679",296,"20,299,307"
Jay Wheeler,"17,138,117","-41,181",300,"19,956,526"
Sachet-Parampara,"17,096,940","54,427",470,"17,096,940"
Disturbed,"17,067,152","-114,130",286,"22,402,786"
Neeti Mohan,"17,034,366","-11,055",454,"17,266,809"
My Chemical Romance,"17,034,349","6,316",389,"19,475,210"
The Walters,"16,987,783","-140,491",371,"19,385,847"
Stryv,"16,986,368","-128,484",266,"23,709,586"
Nile Rodgers,"16,964,211","-50,831",209,"25,999,504"
Piso 21,"16,937,319","-64,775",303,"20,327,383"
Asees Kaur,"16,926,742","-22,345",420,"17,605,775"
Beéle,"16,907,452","-25,544",352,"17,892,078"
Prince Royce,"16,903,848","-19,158",339,"18,754,885"
Andy Williams,"16,902,282","714,578",53,"50,976,627"
Quavo,"16,856,538","-9,649",188,"27,599,002"
John Mayer,"16,855,284","5,561",327,"19,806,976"
Ice Cube,"16,816,047","1,709",325,"18,290,286"
Divya Kumar,"16,789,517","-142,768",405,"18,610,694"
Led Zeppelin,"16,736,722","7,905",294,"19,271,072"
Anu Malik,"16,699,614","17,630",475,"16,906,256"
Banda MS de Sergio Lizárraga,"16,631,039","-1,238",393,"18,371,806"
Boney M.,"16,560,260","30,274",304,"21,706,513"
